ROI,ATP7A,ATP7B,CDKN2A,COPS5,DBT,DLAT,DLD,DLST,FDX1,GCSH,GLS,LIAS,LIPT1,LIPT2,MTF1,NFE2L2,NLRP3,PDHA1,PDHB,SLC31A1
CD45_61,8.971360289,3.364260108,5.607100181,15.69988051,6.728520217,12.3356204,14.57846047,19.06414061,4.485680145,3.364260108,30.27834098,6.728520217,7.849940253,3.364260108,5.607100181,10.09278033,10.09278033,14.57846047,10.09278033,8.971360289
CD45_64,12.42188348,7.246098695,11.38672652,12.42188348,3.105470869,16.5625113,13.45704043,17.59766826,12.42188348,4.140627826,31.05470869,2.070313913,4.140627826,6.210941739,10.35156956,24.84376695,5.175784782,13.45704043,8.281255652,23.80861
CD45_66,10.20878929,4.64035877,3.248251139,12.52896868,4.176322893,12.52896868,18.0973992,12.0649328,16.2412557,1.856143508,34.80269078,4.176322893,7.888609909,1.392107631,6.960538155,20.41757859,3.712287016,17.63336333,9.744753418,23.66582973
CD45_68,8.971360289,4.485680145,7.476133574,7.476133574,4.485680145,17.94272058,8.971360289,22.42840072,8.971360289,1.495226715,49.34248159,10.466587,13.45704043,2.99045343,1.495226715,13.45704043,2.99045343,10.466587,8.971360289,7.476133574
CD45_70,10.35156956,8.281255652,7.246098695,10.86914804,2.587892391,11.904305,16.5625113,11.904305,11.38672652,9.833991086,39.33596434,5.69336326,6.728520217,5.175784782,7.763677173,14.49219739,7.763677173,15.00977587,15.52735435,9.833991086
CD45_71,6.910372115,5.091853137,5.455556933,9.456298683,4.728149342,18.18518978,21.82222773,18.91259737,13.45704043,6.182964524,31.64223021,3.27333416,9.456298683,3.27333416,8.728891092,18.54889357,5.455556933,15.27555941,14.91185562,17.82148598
CD45_73,12.89633042,7.849940253,9.532070307,11.77491038,4.485680145,11.21420036,14.01775045,21.30698069,12.3356204,9.532070307,22.98911074,8.410650271,11.77491038,5.607100181,8.971360289,12.89633042,10.09278033,10.09278033,10.09278033,17.38201056
CD45_76,10.62397929,5.666122288,9.207448718,6.374387574,6.374387574,6.374387574,16.99836686,21.95622387,12.74877515,3.54132643,32.58020316,8.499183432,8.499183432,2.124795858,7.790918146,19.12316272,7.08265286,12.74877515,9.207448718,10.62397929
CD45_78,6.210941739,7.246098695,7.246098695,8.281255652,6.210941739,15.52735435,14.49219739,17.59766826,11.38672652,4.140627826,18.63282522,7.246098695,10.35156956,4.140627826,10.35156956,18.63282522,5.175784782,9.316412608,9.316412608,13.45704043
CD45_80,5.382816174,2.691408087,5.382816174,10.76563235,2.691408087,2.691408087,8.07422426,26.91408087,8.07422426,10.76563235,29.60548895,2.691408087,5.382816174,2.691408087,16.14844852,10.76563235,2.691408087,2.691408087,10.76563235,13.45704043
CD45_81,5.767303043,9.612171738,1.922434348,5.767303043,1.922434348,9.612171738,11.53460609,17.30190913,5.767303043,1.922434348,23.06921217,5.767303043,11.53460609,1.922434348,9.612171738,15.37947478,7.689737391,9.612171738,9.612171738,17.30190913
Endo_83,7.177088231,15.25131249,26.01694484,17.04558455,8.07422426,19.73699264,27.8112169,20.63412867,16.14844852,1.794272058,12.5599044,6.279952202,7.177088231,3.588544116,8.07422426,75.35942643,5.382816174,15.25131249,29.60548895,36.78257719
Endo_84,4.680709716,7.021064574,23.40354858,12.87195172,9.946508147,15.21230658,21.64828244,8.776330718,14.04212915,4.095621002,15.79739529,8.776330718,5.850887145,3.510532287,12.286863,71.96591189,5.265798431,15.21230658,18.72283886,21.06319372
Endo_85,5.145338989,10.29067798,17.4149935,15.83181228,5.541134296,24.93510433,34.4341917,18.99817473,14.24863105,2.770567148,11.87385921,3.166362455,8.311701444,2.374771841,9.499087365,74.805313,4.353748376,19.78976534,24.14351372,28.8930574
Endo_86,10.65349034,14.57846047,6.167810199,11.21420036,6.728520217,19.06414061,22.42840072,15.13917049,13.45704043,4.485680145,17.38201056,3.364260108,9.532070307,3.924970127,16.26059052,28.59621092,4.485680145,11.77491038,20.18556065,18.5034306
Endo_87,6.032466401,7.888609909,9.744753418,13.45704043,6.032466401,16.2412557,21.34565034,13.45704043,14.84914806,3.248251139,15.31318394,6.032466401,4.176322893,3.248251139,14.38511219,34.3386549,6.496502278,28.3061885,20.41757859,22.73775797
Endo_88,10.29067798,15.83181228,5.541134296,10.29067798,3.957953069,13.45704043,11.87385921,19.78976534,10.29067798,8.707496751,23.74771841,2.374771841,9.499087365,5.541134296,11.87385921,10.29067798,7.124315524,11.08226859,8.707496751,14.24863105
Endo_89,7.689737391,11.53460609,1.922434348,11.53460609,1.922434348,15.37947478,28.83651522,13.45704043,15.37947478,5.767303043,9.612171738,7.689737391,7.689737391,1.922434348,7.689737391,51.90572739,1.922434348,17.30190913,15.37947478,32.68138391
Endo_90,8.816681664,19.02547096,9.280717541,17.16932745,10.67282517,19.95354271,25.98600911,13.92107631,16.70529157,3.712287016,12.52896868,7.424574032,8.352645787,1.856143508,14.38511219,43.61937244,2.784215262,19.02547096,20.41757859,23.66582973
Endo_91,7.401372239,17.49415256,12.78418841,13.12061442,6.055668195,13.79346644,25.23195081,11.10205836,17.15772655,3.027834098,10.42920634,4.373538141,5.046390163,6.055668195,9.756354315,45.75393747,4.709964152,16.14844852,21.8676907,47.43606753
Endo_92,7.266801834,7.535942643,7.805083452,21.26212389,5.382816174,14.26446286,26.64494006,16.41758933,13.99532205,3.229689704,14.80274448,6.997661026,6.728520217,2.691408087,22.60782793,78.58911613,9.419928304,20.72384227,20.18556065,17.22501176
Endo_93,1.223367312,12.23367312,12.23367312,13.45704043,8.563571185,24.46734624,29.36081549,8.563571185,20.79724431,2.446734624,18.35050968,7.340203873,4.893469249,4.893469249,11.01030581,52.60479442,1.223367312,9.786938497,13.45704043,19.57387699
Endo_94,13.45704043,16.34069196,7.689737391,18.2631263,8.650954565,17.30190913,24.99164652,7.689737391,13.45704043,2.883651522,14.41825761,10.57338891,10.57338891,1.922434348,11.53460609,20.18556065,4.806085869,11.53460609,8.650954565,18.2631263
Endo_95,8.410650271,15.4195255,18.5034306,18.22307559,6.448165208,16.54094553,28.87656593,8.69100528,18.5034306,2.80355009,15.13917049,5.607100181,7.289230235,3.364260108,14.29810546,80.46188759,4.485680145,17.10165555,23.26946575,47.66035154
